# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	82043
#@/user_id	Window-Corp
a 	啊	c=355 d=2.17411 t=82043
a 	阿	c=1 d=2.48763e-45 t=82043
a de 	阿德	c=1 d=1 t=54268
a fu han 	阿富汗	c=1 d=1.10059e-10 t=82043
a ha ha 	啊哈哈	c=0 d=6.17671e-69 t=82043
a ha ha ha 	啊哈哈哈	c=1 d=1.42808e-45 t=82043
a ha ha ha ha 	啊哈哈哈哈	c=1 d=6.20767e-68 t=82043
a hou de 	啊后的	c=1 d=0.1 t=79271
a hou de nong 	啊后的弄	c=1 d=1 t=79272
a ji mi de 	阿基米德	c=1 d=1 t=49165
a li 	阿里	c=11 d=1.34672 t=82043
a li yun 	阿里云	c=3 d=0.0720785 t=82043
a mu 	阿姆	c=1 d=1.87041e-43 t=82043
a shi fa shi 	啊事发时	c=2 d=5.59767e-57 t=82043
a si da 	阿思达	c=2 d=4.30706e-23 t=82043
a si da shi 	阿思达是	c=1 d=6.50267e-26 t=82043
a si dun 	阿斯顿	c=0 d=5.04519e-12 t=82043
a si dun fa sheng 	阿斯顿发生	c=2 d=2.50728e-10 t=82043
a si dun fa sheng da fa shi fa sheng de 	阿斯顿发生大法师发生的	c=1 d=2.67636e-23 t=82043
a si dun fa sheng fa 	阿斯顿发生法	c=1 d=2.01026e-09 t=82043
a si fa 	阿斯法	c=6 d=1.46814e-22 t=82043
a si fa she fa shuo fu 	阿斯法设法说服	c=1 d=2.38562e-23 t=82043
a si fa shi 	阿斯法是	c=1 d=1 t=46304
a si fa shi da fu 	阿斯法士大夫	c=1 d=1.94344e-23 t=82043
a si fa shi dang 	阿斯法适当	c=1 d=1.97281e-23 t=82043
a si fa shi fa shi fa fa shi 	阿斯法事发时发发是	c=1 d=2.54583e-23 t=82043
a su du fa 	啊速读法	c=24 d=5.0959e-11 t=82043
a su du fa sa 	啊速读法撒	c=1 d=1 t=66369
a su du fa sa dan fa sheng de 	啊速读法撒旦发生的	c=1 d=2.29207e-23 t=82043
a su du fa sa dan fa sheng de fei 	啊速读法撒旦发生的非	c=1 d=2.26927e-23 t=82043
a su du fa sa dan fa sheng fa shi fa shi fen shi an fei 	啊速读法撒旦发声法事发时分尸案非	c=1 d=2.5205e-23 t=82043
a su du fa sa dan fei 	啊速读法撒旦非	c=1 d=2.64973e-23 t=82043
a su du fa she fa shuo fu 	啊速读法设法说服	c=1 d=2.50793e-23 t=82043
a su du fa shi fa shi 	啊速读法事发时	c=1 d=2.73042e-23 t=82043
