# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11833
#@/user_id	Window-Corp
a 	啊	c=93 d=5.29402 t=11833
a 	阿	c=1 d=0.0672055 t=11833
a a 	啊啊	c=0 d=0.1 t=10234
a ha 	啊哈	c=0 d=0.1 t=10724
a ha ha ha 	啊哈哈哈	c=2 d=0.00254516 t=11833
a hong 	阿訇	c=0 d=0.000701293 t=11833
a hong de 	阿訇的	c=1 d=0.00704808 t=11833
a shi fou da suan 	啊是否打算	c=1 d=1.14038e-16 t=11833
a si dun 	阿斯頓	c=2 d=2.97808e-16 t=11833
a si dun fa 	阿斯頓發	c=4 d=5.29131e-16 t=11833
a si dun fa shan 	阿斯頓發山	c=1 d=1.29262e-16 t=11833
a si dun fa shan de 	阿斯頓發山的	c=1 d=1.181e-16 t=11833
a si dun fa sheng di fang 	阿斯頓發生地方	c=1 d=1.1461e-16 t=11833
a yao 	啊喲	c=0 d=0.1 t=10177
a yi 	阿姨	c=5 d=0.0519328 t=11833
ai 	愛	c=7 d=0.0947786 t=11833
ai de 	愛的	c=0 d=1.19287e-17 t=11833
ai de sa fei 	愛的薩菲	c=1 d=1.19885e-16 t=11833
ai si 	愛死	c=1 d=4.77439e-09 t=11833
ai wo 	愛我	c=2 d=1.81165e-11 t=11833
an 	按	c=8 d=0.0721528 t=11833
an chu 	按出	c=1 d=0.293758 t=11833
an li 	案例	c=2 d=0.228838 t=11833
an niu 	按鈕	c=1 d=1 t=10124
an pai 	安排	c=2 d=0.0309668 t=11833
an quan 	安全	c=1 d=0.276651 t=11833
an shi 	按時	c=1 d=1 t=10285
an zhu 	按住	c=0 d=0.0125556 t=11833
an zhu a 	按住啊	c=1 d=0.126186 t=11833
an zhuang 	安裝	c=15 d=2.14886 t=11833
ao 	凹	c=2 d=0.514274 t=11833
ao men 	澳門	c=3 d=0.126288 t=11833
ao te man 	奧特曼	c=2 d=0.224411 t=11833
ao yun hui 	奧運會	c=1 d=0.136014 t=11833
ba 	吧	c=75 d=1.87403 t=11833
ba 	把	c=16 d=0.237196 t=11833
ba 	爸	c=3 d=0.0626749 t=11833
ba 	芭	c=0 d=7.23635e-20 t=11833
ba ba 	爸爸	c=1 d=1.47417e-07 t=11833
ba ba la 	芭芭拉	c=2 d=1.47294e-18 t=11833
ba gao 	拔高	c=1 d=1 t=9331
ba huang 	八荒	c=0 d=0.0826959 t=11833
ba la 	芭拉	c=0 d=7.23635e-20 t=11833
ba ma 	爸媽	c=2 d=0.0330412 t=11833
ba sheng 	八省	c=1 d=0.843665 t=11833
ba xia 	八下	c=1 d=7.81348e-10 t=11833
bai 	白	c=0 d=5.662e-16 t=11833
bai du 	百度	c=5 d=1.69659 t=11833
bai tian 	白天	c=1 d=0.172907 t=11833
ban 	半	c=2 d=0.00565622 t=11833
ban 	板	c=4 d=0.0223922 t=11833
ban 	辦	c=1 d=1.58488e-06 t=11833
ban ben 	版本	c=12 d=3.01563 t=11833
ban dao ti 	半導體	c=1 d=2.95381e-07 t=11833
ban fa 	辦法	c=1 d=3.27514e-16 t=11833
ban gong 	辦公	c=2 d=0.56836 t=11833
ban jian 	半鑑	c=1 d=4.64765e-16 t=11833
ban jing 	半徑	c=6 d=7.77319e-08 t=11833
